epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4117,1.11593,5.61764,0.58131,1.08546,1.168,0.9261,0.8786,0.94382,0.68824,0.68651,0.63736,0.5099,0.29919,0.93324,3.66014,0.24369,0.74788,1.0585,0.000665886,0.000665886,0.000665886
2,115.863,0.98364,2.82986,0.4639,0.76085,1.04673,0.90179,0.91462,0.96307,0.74916,0.73286,0.65837,0.66123,0.52988,0.86634,3.01927,0.18825,0.62823,1.02266,0.00130617,0.00130617,0.00130617
3,169.002,0.96798,2.39858,0.44926,0.74744,1.04084,0.93739,0.89709,0.95892,0.74052,0.85147,0.78521,0.77358,0.67749,0.88264,1.82202,0.17043,0.64761,1.03691,0.00192005,0.00192005,0.00192005
4,223.083,0.94139,2.13804,0.43651,0.71889,1.03643,0.95023,0.88093,0.95516,0.7544,0.84941,0.74475,0.7591,0.68271,0.83789,1.63826,0.13445,0.70338,1.03212,0.0018812,0.0018812,0.0018812
5,276.578,0.92889,1.98477,0.41384,0.67753,1.02329,0.96175,0.92529,0.97062,0.74831,0.86417,0.81712,0.79918,0.72536,0.81781,1.25374,0.09894,0.5666,1.0055,0.0018416,0.0018416,0.0018416
6,331.503,0.87691,1.74662,0.3833,0.63692,1.00566,0.92583,0.94319,0.97542,0.78769,0.90254,0.80718,0.8586,0.81286,0.76285,1.02082,0.07157,0.56929,0.9862,0.001802,0.001802,0.001802
7,385.831,0.84831,1.71811,0.37213,0.60644,0.99727,0.96593,0.94863,0.97858,0.78778,0.89122,0.84514,0.84124,0.78835,0.76076,1.15425,0.07225,0.50887,0.97725,0.0017624,0.0017624,0.0017624
8,441.232,0.82818,1.67594,0.35335,0.58891,0.99092,0.9565,0.94112,0.98275,0.80329,0.85558,0.82646,0.81754,0.77819,0.7126,1.23499,0.06263,0.48477,0.95499,0.0017228,0.0017228,0.0017228
9,495.509,0.80711,1.58942,0.34159,0.57666,0.97872,0.93849,0.94982,0.98064,0.80356,0.85083,0.8611,0.8312,0.80001,0.69993,0.93571,0.05453,0.49146,0.94699,0.0016832,0.0016832,0.0016832
10,551.245,0.82822,1.56682,0.3182,0.57948,0.9858,0.96871,0.94708,0.98026,0.81445,0.88814,0.85888,0.83578,0.80338,0.68367,0.94022,0.05673,0.45555,0.94396,0.0016436,0.0016436,0.0016436
